File_Name,CIK,datadate,announce_date,tic,AbnReturn
319815-0001193125-12-435400.txt,319815,9/30/2012,2012-10-25,MXWL,-14.10415275
720500-0000720500-19-000018.txt,720500,3/31/2019,2019-05-09,ASYS,-6.703340018
1029744-0001157523-14-003478.txt,1029744,6/30/2014,2014-08-13,SOFO,-4.946182026
1433660-0001437749-10-003631.txt,1433660,9/30/2010,2010-11-02,JBT,0.815748137
101778-0000101778-14-000023.txt,101778,3/31/2014,2014-05-06,MRO,-0.145804629
355777-0000950123-11-014494.txt,355777,12/31/2010,2011-02-16,LOJN,-4.066178858
73309-0001144204-11-041475.txt,73309,6/30/2011,2011-07-21,NUE,1.98921266
927355-0000927355-18-000005.txt,927355,3/31/2018,2018-05-07,TESS,0.104923442
884219-0001564590-18-017607.txt,884219,6/30/2018,2018-06-30,VVI,3.673810861
1477294-0001477294-14-000003.txt,1477294,12/31/2013,2014-02-04,ST,6.499945082
50725-0000930413-11-003703.txt,50725,3/31/2011,2011-05-05,GFF,-3.404341432
1289419-0001104659-15-009422.txt,1289419,12/31/2014,2015-02-11,MORN,11.40641916
1163165-0001157523-16-006279.txt,1163165,6/30/2016,2016-07-28,COP,-1.216899676
929452-0001008886-15-000181.txt,929452,6/30/2015,2015-07-22,KNX,-11.63991135
64803-0000064803-18-000026.txt,64803,9/30/2018,2018-11-06,CVS,7.15176282
1309402-0001193125-15-033817.txt,1309402,12/31/2014,2015-02-04,GPRE,4.354481289
1110803-0001110803-17-000023.txt,1110803,3/31/2017,2017-04-25,ILMN,1.153828412
949158-0000949158-14-000011.txt,949158,3/31/2014,2014-04-29,CRAY,-7.481049704
1262823-0001262823-16-000046.txt,1262823,9/30/2016,2016-11-08,WLK,2.288402817
1013488-0001171843-13-000640.txt,1013488,12/31/2012,2013-02-19,BJRI,-6.779497128
354908-0001102624-14-000158.txt,354908,12/31/2013,2014-02-07,FLIR,-5.596152076
72207-0000072207-18-000058.txt,72207,6/30/2018,2018-08-03,NBL,-14.06659909
98362-0000098362-13-000107.txt,98362,9/30/2013,2013-10-24,TKR,-14.92390427
916540-0000916540-17-000016.txt,916540,3/31/2017,2017-05-11,DAR,-1.17798377
794323-0001104659-11-041106.txt,794323,6/30/2011,2011-07-27,LVLT,0.330194777
310142-0001140361-19-013162.txt,310142,6/30/2019,2019-07-19,SXT,-1.230670429
93389-0001140361-20-016921.txt,93389,6/30/2020,2020-07-29,SMP,14.49298633
1289460-0001104659-13-057369.txt,1289460,6/30/2013,2013-07-29,TXRH,1.721382917
1487101-0001487101-16-000091.txt,1487101,6/30/2016,2016-08-09,KEYW,-7.834251585
9342-0001193125-10-102109.txt,9342,3/31/2010,2010-04-28,BEZ,-1.805410505
1351541-0001351541-16-000214.txt,1351541,3/31/2016,2016-05-05,DK,2.114100013
1043337-0001144204-16-085273.txt,1043337,12/31/2015,2016-03-01,SRI,6.256781677
1031623-0001031623-16-000038.txt,1031623,6/30/2016,2016-07-28,GIFI,18.50695999
